Black Prior,Centurion,Conqueror,Gladiator,Gryphon,Lawbringer,Peacekeeper,Warden,Warmonger
0,0,0,0,0,0,793,0,0
0,0,0,0,0,0,448,0,0
0,0,0,0,0,0,1189,0,0
0,0,0,0,0,0,708,2,0
0,0,0,0,0,0,53,0,0
0,0,0,0,0,0,1979,3,0
0,0,0,0,0,0,115,3,0
0,0,0,0,0,0,27,5,0
0,0,0,0,0,0,711,3,0
